epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,453.454,0.96261,0.39037,0.19601,0.53524,0.97519,0.99926,1,0.995,0.73705,0.99926,1,0.995,0.94229,0.86379,0.30754,0.0392,0.48203,0.95175,0.0014654,0.0014654,0.0014654
29,469.271,0.95632,0.36272,0.15232,0.54359,0.98922,0.99909,1,0.995,0.7594,0.99909,1,0.995,0.93773,0.82261,0.28641,0.04479,0.46098,0.93527,0.0014456,0.0014456,0.0014456
30,484.136,0.88443,0.3631,0.18122,0.52756,0.95551,0.99909,1,0.995,0.7594,0.99909,1,0.995,0.93773,0.82261,0.28641,0.04479,0.46098,0.93527,0.0014258,0.0014258,0.0014258
31,498.831,0.85778,0.31787,0.16495,0.5263,0.96555,0.99901,1,0.995,0.7776,0.99901,1,0.995,0.89331,0.77944,0.35021,0.05094,0.46389,0.91979,0.001406,0.001406,0.001406
32,513.505,0.79928,0.26866,0.15514,0.50852,0.9094,0.99897,1,0.995,0.80422,0.99897,1,0.995,0.93475,0.72943,0.25853,0.04425,0.46587,0.90428,0.0013862,0.0013862,0.0013862
33,528.185,0.82426,0.29138,0.1475,0.50512,0.92182,0.99917,1,0.995,0.78131,0.99917,1,0.995,0.96314,0.76244,0.22815,0.0316,0.47939,0.90036,0.0013664,0.0013664,0.0013664
34,543.083,0.81357,0.27629,0.11561,0.49426,0.92016,0.99907,1,0.995,0.79675,0.99907,1,0.995,0.9683,0.75238,0.2175,0.02525,0.43357,0.89563,0.0013466,0.0013466,0.0013466
35,558.134,0.77979,0.26246,0.1562,0.48223,0.92075,0.9991,1,0.995,0.80611,0.9991,1,0.995,0.98512,0.71603,0.18255,0.0235,0.42292,0.90633,0.0013268,0.0013268,0.0013268
36,573.412,0.75934,0.24101,0.15488,0.48466,0.91222,0.99922,1,0.995,0.80936,0.99922,1,0.995,0.98387,0.7398,0.18434,0.02195,0.44168,0.90282,0.001307,0.001307,0.001307
37,588.36,0.81341,0.26242,0.13696,0.47811,0.93475,0.99927,1,0.995,0.81513,0.99927,1,0.995,0.97982,0.70337,0.18083,0.01951,0.42314,0.88588,0.0012872,0.0012872,0.0012872
38,603.682,0.71884,0.21913,0.11602,0.44167,0.90499,0.99927,1,0.995,0.81513,0.99927,1,0.995,0.97982,0.70337,0.18083,0.01951,0.42314,0.88588,0.0012674,0.0012674,0.0012674
39,618.895,0.76319,0.22897,0.1364,0.48095,0.91985,0.99922,1,0.995,0.79497,0.99922,1,0.995,0.97871,0.74272,0.16631,0.01982,0.43695,0.90961,0.0012476,0.0012476,0.0012476
40,633.659,0.73648,0.20615,0.12276,0.45663,0.89949,0.99892,1,0.995,0.80124,0.99892,1,0.995,0.98484,0.72212,0.16232,0.02014,0.43328,0.8993,0.0012278,0.0012278,0.0012278
41,648.557,0.74322,0.20735,0.16117,0.45188,0.92126,0.99908,1,0.995,0.82782,0.99908,1,0.995,0.99358,0.67526,0.12668,0.01852,0.40501,0.88332,0.001208,0.001208,0.001208
42,663.563,0.67615,0.17791,0.13027,0.42763,0.8905,0.98552,0.98649,0.98095,0.80646,0.99902,1,0.995,0.99234,0.69976,0.12116,0.01884,0.40615,0.90006,0.0011882,0.0011882,0.0011882
43,678.353,0.71341,0.21871,0.13908,0.4419,0.89722,0.9856,0.98649,0.97973,0.81622,0.99912,1,0.995,0.98567,0.67,0.13736,0.01967,0.39942,0.88471,0.0011684,0.0011684,0.0011684
44,692.983,0.69906,0.19584,0.11951,0.44145,0.90657,0.99913,1,0.995,0.82067,0.99913,1,0.995,0.98883,0.63654,0.11513,0.01867,0.39767,0.87216,0.0011486,0.0011486,0.0011486
45,707.94,0.71469,0.20139,0.12055,0.43117,0.9045,0.99914,1,0.995,0.83486,0.99914,1,0.995,0.99238,0.64601,0.09572,0.01721,0.39347,0.87559,0.0011288,0.0011288,0.0011288
46,723.571,0.65062,0.14342,0.11732,0.40932,0.87471,0.99914,1,0.995,0.83486,0.99914,1,0.995,0.99238,0.64601,0.09572,0.01721,0.39347,0.87559,0.001109,0.001109,0.001109
47,739.957,0.61342,0.14152,0.09743,0.39361,0.88179,0.99912,1,0.995,0.83911,0.99912,1,0.995,0.99347,0.62209,0.09923,0.01638,0.38321,0.86817,0.0010892,0.0010892,0.0010892
48,755.384,0.65407,0.16676,0.13184,0.4106,0.89316,0.99909,1,0.995,0.8131,0.99909,1,0.995,0.9918,0.66786,0.10719,0.01719,0.38894,0.88189,0.0010694,0.0010694,0.0010694
49,770.659,0.68429,0.16567,0.13263,0.40918,0.87905,0.99917,1,0.995,0.82248,0.99917,1,0.995,0.99179,0.66523,0.09517,0.0175,0.39099,0.88097,0.0010496,0.0010496,0.0010496
50,785.785,0.64177,0.14008,0.09169,0.40453,0.88081,0.99913,1,0.995,0.8337,0.99913,1,0.995,0.99336,0.61218,0.08673,0.01676,0.38044,0.87281,0.0010298,0.0010298,0.0010298
51,801.059,0.60758,0.13307,0.11355,0.39404,0.87526,0.99917,1,0.995,0.83015,0.99917,1,0.995,0.99347,0.6349,0.08404,0.01526,0.3694,0.8675,0.00101,0.00101,0.00101
52,816.907,0.64735,0.1532,0.15707,0.38806,0.87042,0.99918,1,0.995,0.83029,0.99918,1,0.995,0.99346,0.6369,0.08212,0.01489,0.36853,0.86868,0.0009902,0.0009902,0.0009902
53,833.007,0.64866,0.13934,0.1127,0.40156,0.87051,0.98569,0.98649,0.98392,0.84539,0.99919,1,0.995,0.99343,0.59915,0.07266,0.01553,0.3543,0.86753,0.0009704,0.0009704,0.0009704
54,849.482,0.59124,0.13215,0.12899,0.38305,0.86239,0.98569,0.98649,0.98392,0.84539,0.99919,1,0.995,0.99343,0.59915,0.07266,0.01553,0.3543,0.86753,0.0009506,0.0009506,0.0009506
55,866.03,0.59285,0.13435,0.10069,0.37951,0.87036,0.98581,0.98649,0.985,0.85432,0.9992,1,0.995,0.99338,0.58177,0.07366,0.01521,0.35777,0.86061,0.0009308,0.0009308,0.0009308
56,881.851,0.54539,0.13805,0.09224,0.36815,0.85307,0.99918,1,0.995,0.84657,0.99918,1,0.995,0.99051,0.57813,0.07137,0.0141,0.35952,0.86189,0.000911,0.000911,0.000911
57,897.894,0.58778,0.13482,0.11415,0.3878,0.88227,0.99919,1,0.995,0.82305,0.99919,1,0.995,0.99274,0.59768,0.06705,0.01338,0.35112,0.87727,0.0008912,0.0008912,0.0008912
58,913.177,0.56791,0.12605,0.09098,0.3735,0.85303,0.99915,1,0.995,0.83135,0.99915,1,0.995,0.995,0.58703,0.06177,0.01362,0.35063,0.86606,0.0008714,0.0008714,0.0008714
59,928.788,0.57499,0.12232,0.14613,0.36952,0.86718,0.99917,1,0.995,0.84349,0.99917,1,0.995,0.995,0.56238,0.05931,0.01302,0.33906,0.85916,0.0008516,0.0008516,0.0008516
60,943.813,0.56711,0.13945,0.11928,0.37172,0.85153,0.99922,1,0.995,0.83086,0.99922,1,0.995,0.995,0.58977,0.06154,0.01227,0.34655,0.87356,0.0008318,0.0008318,0.0008318
61,958.84,0.5628,0.10812,0.08971,0.35484,0.85571,0.99921,1,0.995,0.83823,0.99921,1,0.995,0.99307,0.57374,0.06582,0.01196,0.34152,0.86534,0.000812,0.000812,0.000812
62,973.617,0.55555,0.08127,0.12076,0.36315,0.86477,0.99921,1,0.995,0.83823,0.99921,1,0.995,0.99307,0.57374,0.06582,0.01196,0.34152,0.86534,0.0007922,0.0007922,0.0007922
63,990.559,0.49208,0.12944,0.09971,0.34178,0.82406,0.99921,1,0.995,0.83489,0.99921,1,0.995,0.99309,0.56604,0.06215,0.01185,0.34157,0.86026,0.0007724,0.0007724,0.0007724
64,1007.9,0.55404,0.11516,0.10812,0.35793,0.86595,0.99923,1,0.995,0.81302,0.99923,1,0.995,0.99311,0.59851,0.06125,0.01154,0.35247,0.87918,0.0007526,0.0007526,0.0007526
65,1024.02,0.52645,0.08619,0.0834,0.33481,0.83729,0.99921,1,0.995,0.81504,0.99921,1,0.995,0.99311,0.59388,0.05969,0.01162,0.35241,0.87551,0.0007328,0.0007328,0.0007328
66,1041.74,0.55061,0.12007,0.12766,0.35501,0.85314,0.99922,1,0.995,0.84872,0.99922,1,0.995,0.99315,0.555,0.06198,0.01162,0.33559,0.85496,0.000713,0.000713,0.000713
67,1059.98,0.5255,0.11011,0.10499,0.34391,0.83829,0.98572,0.98649,0.98351,0.84328,0.99923,1,0.995,0.99326,0.55287,0.06884,0.01175,0.33191,0.8593,0.0006932,0.0006932,0.0006932
68,1077.55,0.5258,0.12209,0.11574,0.34467,0.83816,0.98572,0.98649,0.98392,0.84277,0.99923,1,0.995,0.99346,0.55916,0.06941,0.01053,0.33045,0.86291,0.0006734,0.0006734,0.0006734
69,1101.48,0.52846,0.1028,0.09604,0.34651,0.84912,0.99921,1,0.995,0.84933,0.99921,1,0.995,0.99354,0.55684,0.06054,0.00992,0.3338,0.8599,0.0006536,0.0006536,0.0006536
70,1117.39,0.50755,0.10818,0.10135,0.34432,0.84372,0.99921,1,0.995,0.84933,0.99921,1,0.995,0.99354,0.55684,0.06054,0.00992,0.3338,0.8599,0.0006338,0.0006338,0.0006338
71,1133.07,0.51835,0.09679,0.12047,0.33692,0.83313,0.99922,1,0.995,0.85977,0.99922,1,0.995,0.995,0.56845,0.04963,0.00989,0.33177,0.86468,0.000614,0.000614,0.000614
72,1148.72,0.49022,0.09615,0.09032,0.32812,0.83709,0.99922,1,0.995,0.86289,0.99922,1,0.995,0.995,0.55378,0.04619,0.01005,0.31463,0.85861,0.0005942,0.0005942,0.0005942
73,1164.91,0.49309,0.10161,0.12247,0.33009,0.84858,0.99922,1,0.995,0.85436,0.99922,1,0.995,0.995,0.55121,0.04789,0.01052,0.32131,0.85125,0.0005744,0.0005744,0.0005744
74,1180.79,0.50442,0.12483,0.10981,0.33527,0.84719,0.99921,1,0.995,0.85735,0.99921,1,0.995,0.995,0.539,0.05026,0.01079,0.31546,0.84477,0.0005546,0.0005546,0.0005546
75,1196.85,0.53395,0.11272,0.13371,0.34395,0.8391,0.99921,1,0.995,0.85764,0.99921,1,0.995,0.995,0.53356,0.05133,0.01057,0.3172,0.84641,0.0005348,0.0005348,0.0005348
76,1213.53,0.48376,0.09562,0.10725,0.32319,0.83245,0.99923,1,0.995,0.86659,0.99923,1,0.995,0.995,0.51521,0.04919,0.01023,0.30822,0.84368,0.000515,0.000515,0.000515
77,1229.19,0.49224,0.08565,0.11547,0.32193,0.83679,0.9992,1,0.995,0.86749,0.9992,1,0.995,0.995,0.50757,0.0462,0.01057,0.31275,0.83717,0.0004952,0.0004952,0.0004952
78,1245.12,0.50008,0.09943,0.10836,0.32656,0.83497,0.9992,1,0.995,0.86749,0.9992,1,0.995,0.995,0.50757,0.0462,0.01057,0.31275,0.83717,0.0004754,0.0004754,0.0004754
79,1261.59,0.45435,0.07955,0.09347,0.31918,0.81844,0.9992,1,0.995,0.8584,0.9992,1,0.995,0.995,0.50797,0.04478,0.01054,0.31433,0.8403,0.0004556,0.0004556,0.0004556
80,1277.78,0.4539,0.08195,0.10385,0.31907,0.82837,0.99919,1,0.995,0.85424,0.99919,1,0.995,0.995,0.5222,0.04176,0.01085,0.31315,0.84721,0.0004358,0.0004358,0.0004358
81,1293.53,0.48536,0.10298,0.12532,0.32541,0.84018,0.9992,1,0.995,0.85474,0.9992,1,0.995,0.995,0.5309,0.03959,0.01085,0.31985,0.84799,0.000416,0.000416,0.000416
82,1308.61,0.47522,0.10482,0.09197,0.31419,0.84372,0.99923,1,0.995,0.84684,0.99923,1,0.995,0.995,0.51917,0.03971,0.01053,0.31468,0.84319,0.0003962,0.0003962,0.0003962
83,1324.23,0.46179,0.1101,0.09751,0.30935,0.82683,0.99923,1,0.995,0.86051,0.99923,1,0.995,0.995,0.50256,0.04138,0.01057,0.3085,0.83955,0.0003764,0.0003764,0.0003764
84,1339.42,0.46304,0.07315,0.11924,0.31357,0.83763,0.99924,1,0.995,0.85895,0.99924,1,0.995,0.995,0.50333,0.04238,0.01115,0.30605,0.84252,0.0003566,0.0003566,0.0003566
85,1354.64,0.45556,0.06715,0.10606,0.32162,0.83916,0.99923,1,0.995,0.85477,0.99923,1,0.995,0.995,0.49929,0.04104,0.01132,0.30575,0.84417,0.0003368,0.0003368,0.0003368
86,1370.72,0.45499,0.10119,0.11216,0.31126,0.81705,0.99923,1,0.995,0.85477,0.99923,1,0.995,0.995,0.49929,0.04104,0.01132,0.30575,0.84417,0.000317,0.000317,0.000317
87,1385.76,0.48593,0.07587,0.13239,0.32896,0.84707,0.99924,1,0.995,0.85688,0.99924,1,0.995,0.995,0.50025,0.03941,0.01098,0.30327,0.84599,0.0002972,0.0002972,0.0002972
88,1401.29,0.45467,0.10742,0.11328,0.31087,0.83135,0.99924,1,0.995,0.85145,0.99924,1,0.995,0.995,0.51309,0.03893,0.01054,0.30491,0.84984,0.0002774,0.0002774,0.0002774
89,1416.35,0.45165,0.10744,0.12087,0.30192,0.8278,0.99923,1,0.995,0.84738,0.99923,1,0.995,0.995,0.52996,0.03999,0.00977,0.30597,0.8556,0.0002576,0.0002576,0.0002576
90,1431.36,0.45517,0.10104,0.10988,0.30664,0.82362,0.99923,1,0.995,0.8441,0.99923,1,0.995,0.995,0.52655,0.04197,0.00978,0.30446,0.85374,0.0002378,0.0002378,0.0002378
91,1447.52,0.40133,0.04862,0.01066,0.27729,0.80388,0.99922,1,0.995,0.85078,0.99922,1,0.995,0.995,0.51602,0.04257,0.00955,0.30214,0.85269,0.000218,0.000218,0.000218
92,1462.42,0.39402,0.04962,0.01028,0.27397,0.81823,0.99923,1,0.995,0.86175,0.99923,1,0.995,0.995,0.50717,0.04312,0.00948,0.29863,0.84911,0.0001982,0.0001982,0.0001982
93,1477.4,0.36535,0.04385,0.01025,0.26686,0.7945,0.99922,1,0.995,0.85514,0.99922,1,0.995,0.995,0.51374,0.04292,0.00935,0.30489,0.85431,0.0001784,0.0001784,0.0001784
94,1492.6,0.38401,0.05352,0.01148,0.27423,0.80118,0.99922,1,0.995,0.85514,0.99922,1,0.995,0.995,0.51374,0.04292,0.00935,0.30489,0.85431,0.0001586,0.0001586,0.0001586
95,1508.24,0.38941,0.05064,0.0115,0.26938,0.80014,0.99922,1,0.995,0.85351,0.99922,1,0.995,0.995,0.51668,0.04292,0.00924,0.30424,0.85675,0.0001388,0.0001388,0.0001388
96,1523.71,0.36116,0.04199,0.01085,0.2703,0.80004,0.99922,1,0.995,0.85528,0.99922,1,0.995,0.995,0.51165,0.04326,0.00908,0.30549,0.85421,0.000119,0.000119,0.000119
97,1538.48,0.3607,0.04099,0.01068,0.26965,0.80185,0.99922,1,0.995,0.85735,0.99922,1,0.995,0.995,0.50912,0.04229,0.00901,0.30397,0.85171,9.92e-05,9.92e-05,9.92e-05
98,1553.5,0.36574,0.04202,0.0101,0.26553,0.80743,0.99922,1,0.995,0.86484,0.99922,1,0.995,0.995,0.50482,0.04205,0.00889,0.30198,0.84827,7.94e-05,7.94e-05,7.94e-05
99,1568.98,0.36174,0.04566,0.01119,0.26029,0.79261,0.99923,1,0.995,0.87106,0.99923,1,0.995,0.995,0.50285,0.04134,0.00885,0.30172,0.84647,5.96e-05,5.96e-05,5.96e-05
100,1584.12,0.35651,0.0419,0.01028,0.25906,0.80331,0.99922,1,0.995,0.87115,0.99922,1,0.995,0.995,0.50126,0.04058,0.00885,0.30055,0.84593,3.98e-05,3.98e-05,3.98e-05
