epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,568.105,0.93583,0.38471,0.20011,0.56163,0.97207,0.99906,1,0.995,0.76051,0.99906,1,0.995,0.90655,0.80771,0.39646,0.04205,0.49362,0.93096,0.0017327,0.0017327,0.0017327
29,589.443,0.90974,0.32574,0.1514,0.54618,0.96589,0.99911,1,0.995,0.78265,0.99911,1,0.995,0.92635,0.77603,0.30048,0.03802,0.45575,0.91509,0.0017228,0.0017228,0.0017228
30,610.516,0.89298,0.33466,0.1801,0.54986,0.94951,0.99911,1,0.995,0.78265,0.99911,1,0.995,0.92635,0.77603,0.30048,0.03802,0.45575,0.91509,0.0017129,0.0017129,0.0017129
31,631.013,0.84232,0.29752,0.15273,0.54257,0.96197,0.99916,1,0.995,0.78141,0.99916,1,0.995,0.92444,0.7923,0.27742,0.03569,0.48289,0.92425,0.001703,0.001703,0.001703
32,651.616,0.79736,0.26404,0.14728,0.51569,0.9091,0.99912,1,0.995,0.78343,0.99912,1,0.995,0.95882,0.76401,0.21098,0.02584,0.48162,0.90656,0.0016931,0.0016931,0.0016931
33,672.796,0.81997,0.28779,0.14001,0.50533,0.92513,0.99913,1,0.995,0.79068,0.99913,1,0.995,0.94661,0.73533,0.21705,0.02277,0.48123,0.89005,0.0016832,0.0016832,0.0016832
34,693.19,0.76811,0.25008,0.11108,0.50236,0.91213,0.9991,1,0.995,0.79516,0.9991,1,0.995,0.9424,0.70966,0.22479,0.02508,0.45205,0.89286,0.0016733,0.0016733,0.0016733
35,713.556,0.76167,0.23658,0.15025,0.49726,0.91817,0.99917,1,0.995,0.79537,0.99917,1,0.995,0.96313,0.76947,0.2006,0.02255,0.45538,0.91891,0.0016634,0.0016634,0.0016634
36,733.799,0.76334,0.19922,0.15071,0.49436,0.91797,0.99924,1,0.995,0.76649,0.99924,1,0.995,0.97528,0.74774,0.1666,0.01752,0.45207,0.90148,0.0016535,0.0016535,0.0016535
37,753.935,0.74092,0.2239,0.13428,0.47373,0.9174,0.99801,1,0.995,0.79872,0.99801,1,0.995,0.99152,0.72575,0.14931,0.01482,0.45532,0.90677,0.0016436,0.0016436,0.0016436
38,774.167,0.70428,0.19301,0.11273,0.46919,0.90988,0.99801,1,0.995,0.79872,0.99801,1,0.995,0.99152,0.72575,0.14931,0.01482,0.45532,0.90677,0.0016337,0.0016337,0.0016337
39,794.216,0.74041,0.20584,0.13061,0.47726,0.92785,0.99906,1,0.995,0.7658,0.99906,1,0.995,0.97532,0.77222,0.1684,0.01524,0.45786,0.91126,0.0016238,0.0016238,0.0016238
40,814.326,0.7327,0.1744,0.11695,0.46387,0.91201,0.99907,1,0.995,0.79243,0.99907,1,0.995,0.96703,0.71213,0.16698,0.01538,0.42241,0.90757,0.0016139,0.0016139,0.0016139
41,834.511,0.71521,0.19192,0.15297,0.46289,0.92996,0.99906,1,0.995,0.82201,0.99906,1,0.995,0.99327,0.67313,0.1165,0.0129,0.41089,0.88773,0.001604,0.001604,0.001604
42,855.439,0.67415,0.15722,0.12338,0.44017,0.90074,0.98557,0.98649,0.98189,0.80954,0.99907,1,0.995,0.99296,0.69699,0.12994,0.01376,0.41351,0.89524,0.0015941,0.0015941,0.0015941
43,875.979,0.73985,0.21418,0.13225,0.45851,0.91699,0.99915,1,0.995,0.8136,0.99915,1,0.995,0.98851,0.67046,0.13474,0.01234,0.43358,0.89117,0.0015842,0.0015842,0.0015842
44,896.559,0.69379,0.17749,0.11105,0.45839,0.91427,0.99917,1,0.995,0.81305,0.99917,1,0.995,0.99119,0.63879,0.12562,0.00993,0.38906,0.87747,0.0015743,0.0015743,0.0015743
45,916.683,0.70456,0.20663,0.11329,0.42817,0.907,0.99916,1,0.995,0.83239,0.99916,1,0.995,0.993,0.66994,0.10455,0.00896,0.39988,0.87597,0.0015644,0.0015644,0.0015644
46,937.416,0.65511,0.14441,0.11146,0.41962,0.87744,0.99916,1,0.995,0.83239,0.99916,1,0.995,0.993,0.66994,0.10455,0.00896,0.39988,0.87597,0.0015545,0.0015545,0.0015545
47,958.402,0.62812,0.1323,0.09095,0.41266,0.89143,0.99918,1,0.995,0.82403,0.99918,1,0.995,0.995,0.62429,0.08802,0.0089,0.39762,0.8645,0.0015446,0.0015446,0.0015446
48,979.081,0.62026,0.15688,0.12655,0.40821,0.88753,0.99917,1,0.995,0.81593,0.99917,1,0.995,0.99316,0.613,0.08323,0.00865,0.40414,0.86569,0.0015347,0.0015347,0.0015347
49,1000.22,0.63155,0.15528,0.12348,0.40044,0.87042,0.99919,1,0.995,0.83226,0.99919,1,0.995,0.995,0.60073,0.07502,0.00857,0.37254,0.87018,0.0015248,0.0015248,0.0015248
50,1022.43,0.65775,0.13198,0.08328,0.42056,0.88999,0.99919,1,0.995,0.83162,0.99919,1,0.995,0.995,0.62,0.08198,0.00908,0.40154,0.87108,0.0015149,0.0015149,0.0015149
51,1043.26,0.64003,0.12904,0.10595,0.41274,0.8867,0.98567,0.98649,0.97905,0.81907,0.99917,1,0.995,0.99391,0.62138,0.09875,0.00907,0.39057,0.88067,0.001505,0.001505,0.001505
52,1064.88,0.64711,0.14745,0.15067,0.40103,0.87869,0.99915,1,0.995,0.82562,0.99915,1,0.995,0.99267,0.62566,0.08182,0.00878,0.3893,0.87773,0.0014951,0.0014951,0.0014951
53,1086.53,0.58701,0.12448,0.10538,0.40078,0.86411,0.99914,1,0.995,0.84063,0.99914,1,0.995,0.99267,0.60673,0.06426,0.00839,0.36644,0.87162,0.0014852,0.0014852,0.0014852
54,1107.7,0.54975,0.10968,0.12408,0.3744,0.85787,0.99914,1,0.995,0.84063,0.99914,1,0.995,0.99267,0.60673,0.06426,0.00839,0.36644,0.87162,0.0014753,0.0014753,0.0014753
55,1128.55,0.60181,0.1201,0.09305,0.37916,0.87801,0.9992,1,0.995,0.83448,0.9992,1,0.995,0.99079,0.59916,0.07554,0.00712,0.35133,0.87649,0.0014654,0.0014654,0.0014654
56,1149.22,0.61232,0.13335,0.0843,0.38747,0.87053,0.99922,1,0.995,0.81877,0.99922,1,0.995,0.98933,0.64471,0.08666,0.00658,0.38226,0.86431,0.0014555,0.0014555,0.0014555
