epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,867.082,1.04506,0.94637,1.04787,0.99522,0.98649,0.99487,0.53254,1.38972,0.93101,1.17009,0.0011684,0.0011684,0.0011684
44,887.294,0.94242,0.94194,1.0364,0.99336,1,0.995,0.53389,1.35877,0.89663,1.14785,0.0011486,0.0011486,0.0011486
45,907.227,0.98558,0.91835,1.02399,1,0.97093,0.99447,0.52187,1.35351,0.93259,1.13676,0.0011288,0.0011288,0.0011288
46,927.208,0.99521,0.95476,1.02993,1,0.97093,0.99447,0.52187,1.35351,0.93259,1.13676,0.001109,0.001109,0.001109
47,948.166,1.0684,1.02289,1.07698,0.97308,0.91892,0.98616,0.40922,1.57611,1.11423,1.26732,0.0010892,0.0010892,0.0010892
48,970.181,1.05967,0.93243,1.05955,0.9186,0.91892,0.968,0.42073,1.54138,1.14118,1.24262,0.0010694,0.0010694,0.0010694
49,990.19,1.02636,0.89871,1.01475,0.97226,0.94595,0.98666,0.52084,1.32407,0.98352,1.11787,0.0010496,0.0010496,0.0010496
50,1011.41,0.99217,0.96175,1.02314,0.98611,0.9592,0.98696,0.57094,1.2445,0.92212,1.07885,0.0010298,0.0010298,0.0010298
51,1032.86,0.98972,0.9624,1.03184,0.95875,0.98649,0.99357,0.56859,1.24889,0.88839,1.08508,0.00101,0.00101,0.00101
52,1054.72,1.02552,0.96094,1.04878,0.96244,0.98649,0.99425,0.56001,1.2813,0.90722,1.1069,0.0009902,0.0009902,0.0009902
53,1075.09,1.00296,0.92315,1.02732,0.96645,0.98649,0.993,0.60692,1.15219,0.90016,1.05556,0.0009704,0.0009704,0.0009704
54,1095.78,1.04836,0.90329,1.06666,0.96645,0.98649,0.993,0.60692,1.15219,0.90016,1.05556,0.0009506,0.0009506,0.0009506
55,1113.87,0.95935,0.86572,1.0124,0.91014,0.97297,0.98739,0.66335,0.99974,0.90234,1.00102,0.0009308,0.0009308,0.0009308
56,1131.31,0.95389,0.88053,1.01074,0.9474,0.90541,0.98061,0.67221,0.95798,0.90549,0.98656,0.000911,0.000911,0.000911
57,1148.85,1.02878,0.9563,1.04112,0.89409,0.90541,0.97171,0.63606,0.95913,0.94893,0.99421,0.0008912,0.0008912,0.0008912
58,1170.26,0.97083,0.91971,1.01034,0.84739,0.9005,0.93939,0.53606,1.09513,1.07126,1.04281,0.0008714,0.0008714,0.0008714
59,1190.03,1.02696,0.9053,1.05828,0.82543,0.89189,0.92129,0.48899,1.17626,1.11458,1.06894,0.0008516,0.0008516,0.0008516
60,1210.41,0.93167,0.88693,1.02225,0.90411,0.94595,0.95251,0.54883,1.15614,0.99883,1.04981,0.0008318,0.0008318,0.0008318
61,1231.05,0.98058,0.87426,1.01824,0.93361,0.95022,0.98554,0.634,1.11497,0.85795,1.02119,0.000812,0.000812,0.000812
62,1251.5,0.99873,0.84074,1.02786,0.93361,0.95022,0.98554,0.634,1.11497,0.85795,1.02119,0.0007922,0.0007922,0.0007922
63,1271.67,0.93538,0.81912,0.99606,0.98662,0.9962,0.99487,0.64786,1.13306,0.80262,1.02666,0.0007724,0.0007724,0.0007724
